index,question,answer,category,l2_category,image_src,image_height,image_width,meta_info_source,meta_info_split,meta_info_image_path,local_path
1250,"Which part is represented by the alphabet H?
Options: A: flagellum, B: cytosol, C: cell wall, D: capsule",B,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1250/image/image.jpg?Expires=1745640619&Signature=AeKVewPtPsyJAYCxULyR2b1LfFmI4W3llsSKdm9ha71cKeKLbRTFVHGx3WNcucxDH~ZcT2pDnCfFQ5--1hDXfZzOGcjPjBrfg73MV7Q4Pir6ZljozwBBs6ZxHrYQfhYQzXRKduUZA8rcdwxkir2QBeOqyQV2RWJkMvCe-fS18~TmqQZLCNc84~1CGJ8bsh2j3pevoepzB1pfNCdMtWqYJ7PJwj~slROvT4sUVmrnk7S3q3Uw7UVDD~qq75Ew4G73E2G-8qNgV2A8neUnif4C6cc7XaRaD29hDT6H9TFRXH83BMHW1ShS~z-klqY1NXCZC2PZPz0D3rF6OKGA1tjdYA__&Key-Pair-Id=K3EI6M078Z3AC3,480,640,AI2D_TEST,val,images/1250.jpg,data/mmstar/images\1250\image.jpg
1251,"<image 1> What could be the reason for the corky outgrowths on a young ash tree by the roadside in Littondale, Yorkshire?
Options: A: Fungal disease, B: Bacterial disease, C: Don't know or not sure, D: Genetic abnormality",B,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1251/image/image.jpg?Expires=1745640619&Signature=YIxhqxJS5-zKmcIHJuvWTTlOR~eegq9mpv66MUWgXUSLtnme7S4va3uIvyquuHh0Ihos1lm8b8fCs-FFeEm184d56xOmjaKZwlJhQyNjYxROlp6R1OLDNz40YNcPYEAMeX6lfqcz1Mj7hFwvcGjt5sA61dP3j2cL74KBh3N3jG8LR5uXeh5PclDQfcaU72tANgePK0WrR1BUsp~1203oCiQ6~7yhmkyNsjrjCHxL0vmX59UXhZpQFuIMwuly~BWYp0qzV3ZzWuTh0tDT2ElV1c02yHwOmnWhZeCTrEWCVEkyIHiKyOGx7KOmtJb92XU9-y9yYybBxmMoEJm5eM3ajw__&Key-Pair-Id=K3EI6M078Z3AC3,2560,1852,MMMU,val,images/1251.jpg,data/mmstar/images\1251\image.jpg
1252,"The pedigree in <image 1> shows the mode of inheritance of a human disease that is associated with mutations in Gene A. Note: Individuals marrying into this family DO NOT have the disease-associated allele unless shaded and the pedigree is completely penetrant. What is the genotype(s) of Individual 9?
Options: A: XAXa, B: Aa, C: Aa or AA, D: XAXA",A,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1252/image/image.jpg?Expires=1745640619&Signature=WEpa28B9wRa1gglIQAsdVU33vGUYfRuMGpsIZVn2WJBUfuAk3iv94MNYj9IjNuxHnhj3cnagKG778Nr4AChDjzn0asRG9qepcMXbHNsH2B2d1eGjRRjXp5rWAsnqTLYhlkVizIwH~1h3yrBy~3K4oLOBROcIvMBP6YyjPHJWNZBmLa9Kc5lDjB8YuWxHWd8DveKGTfN1i6wN-6zYmK76sUTZym4RWo3H8UB2pwjT~fCWbJBwBGSyW-i7mPGHnPrSmKwGMEA-~8kriKL2r2ufOhxMTKPK5xfCOIYj1gzyXXYKJ6CaakvZZoC8xctcgCubDW8VFh620GlI85PyEuVLbw__&Key-Pair-Id=K3EI6M078Z3AC3,568,1148,MMMU,val,images/1252.jpg,data/mmstar/images\1252\image.jpg
1253,"Where would a loss of taste be expected? <image 1>
Options: A: 1 and 2, B: 2 and 3, C: 3 and 4, D: 2, 3, and 4",B,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1253/image/image.jpg?Expires=1745640619&Signature=bH93zwIx7mhB03Hi-qem6UWKNuZz972mw22w-3q33CwmGd0rZfvANSAfbUnPU0pPT0Wh0CxUabHPzULB7XHYt71sTbz60TstrHQyF834bjXnVoSh2rJpiYE2n6GJckm7eT2TBunqeEHpc8wTb6f6EdQffCP3S~ApI2jSh6K4QKpawZgr0Cx-HJzon4yBAE5Y9AHZ9Mw7jdOHyU1~aJV8H1u~NI84uQ6jRChNMgSUyPxBBEmgxiHGeBYw3BRe1aVmyErotshlFx9QCKoOPpzeZv7pPLnJ-H8ExvYcBhXlI18NqdN0qm0BxD7dsZ4i93~vQdgGABv-yPOteVjUruDB4Q__&Key-Pair-Id=K3EI6M078Z3AC3,610,686,MMMU,val,images/1253.jpg,data/mmstar/images\1253\image.jpg
1254,"Find the amplitude (in terms of V) of the phasor voltage $V_C$ in the circuit of <image 1>.
Options: A: 71.6, B: Other Answers, C: nan, D: nan",A,science & technology,electronics & energy & mechanical eng.,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1254/image/image.jpg?Expires=1745640619&Signature=S2IyysZQR5-uZCl9HQHASZlqJGTrcx2bzGN~c0l6TSA12J4nuWrE5Ck9HJMMSEyZsvzh~7xrp5UjmzUwZnyBvmaoXOJqBikN3g93PVOLGnDt4SvN6JKWE-YaYZjSYTGQAfsEJoTr1t5Skm4jWy-esN-ugrwsARa-gJWyDdZbEtVfCouj2AHbx4cIXT1QESLJm2QDqEGguIUp9GmOcVuQCfUKVbySN6K0GRAifdpxdZHaeM4yRnNyDezMOKw8BW-mfNjwBksiiyVlP2FtH557IirCMoPC9FDH1Q6nKWieJ2-fXuhDoR~W0qQ9qsjFj0Hk-oVi6xlUB0NS4c14oG1GXA__&Key-Pair-Id=K3EI6M078Z3AC3,222,435,MMMU,val,images/1254.jpg,data/mmstar/images\1254\image.jpg
1255,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Consider the infinitely long chain of resistors shown below. What is the resistance between terminals a and b if R=1?
Choices:
(A) 1.46
(B) 73
(C) 0
(D) 0.73",D,science & technology,electronics & energy & mechanical eng.,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1255/image/image.jpg?Expires=1745640619&Signature=PMo0c9uH8gffYzj-my9YXTOdnR8YG7CTSmqP3Zfpc8LQAVLZZndoz-2fKApAom3b8z-NIiP60R2dnbZ1xr3RO-qStjaB4M~GSH2JFAWuzfcVlog377GiLdGZejA-47aIPjVSaFw9HpLpM9Cjsha~MLBplwRfGA6HSGDf2ypYe-mqJFeUQ2GR7dIJA9uFfeZVr6sw7K8D~Jj~dp6yjm20u0XA-7K-G8M706em-NnVfPO1jmoPJ2DsglQGeODMOi3FQ5kCQLeSM2KvAe68zRWFePHyLUiQqp0vc6OkaAkRbRc7wFcCSL6MUeFfXeWkh~WJMkH00wMaVTWtrzYJS8lJRQ__&Key-Pair-Id=K3EI6M078Z3AC3,169,463,MathVista,val,images/1255.jpg,data/mmstar/images\1255\image.jpg
1256,"What letter represents oxygen?
Options: A: G, B: C, C: F, D: A",B,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1256/image/image.jpg?Expires=1745640619&Signature=cjGRCdfKbwYouDKyYedteXuDXY9Nbw1Qftu1NekZpiKzN~SKn~~f~MAc1zmSgZyqi7wyU~2DK0bW4sfEpOyko8JPpB4OCGkKfVAAdv2fWvrVxT3tMN4DhMVyeA4GtQ7iqJNVMtBqGIIxkMaf6snwEDm1VTKyxdZm2qinR9GuB2sRgp8~fqeRhfExV5~Ez4xrStQrumBfs~liV98GwPY5U22aMixJow86BWn5s2oRYvyAQUmyNuzJ~R-XuLqppAS3GdWel-WdvBZBLmIebgGhtj6IO-xtWcZqErpnHb4HNN4TA6l~gyuCaO8wSSGJdXhKzvnKLwS9rJO66~cNYuxNdQ__&Key-Pair-Id=K3EI6M078Z3AC3,800,836,AI2D_TEST,val,images/1256.jpg,data/mmstar/images\1256\image.jpg
1257,"Which of the following is the enantiomer of the compound shown below ? <image 1>
Options: A: <image 2>, B: <image 3>, C: <image 4>, D: <image 5>",A,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1257/image/image.jpg?Expires=1745640619&Signature=KBIp~VZXIgrrIkCsTvK-nRbtZIdKzLsKJ2wAZ4b8eIu2HWBlBZebs6JYCd6M9Nrtbk-bB191zuSAOHAEosg4xnDbynfxSvM72e4bbaG7r~J82bUBwsBu~KCZCkFQchKYtzfM1cL7nfbVwjpcNfWWc5Bk~fj1u4hWvRIaZTzPn99JfnmNBlCFLKzwj~aJl3DhaEnlaO-H22gMGFlemh5s9LfyKVj9Qn0CBwO6JFL0yWtsgW~PqHvQNDjT0FsP3crpAfSy-phyj5YuBOQcet63ySVMK18iNJ6nPoKcJi0jUSiSN4L--IQHLtiEQy5oiKlWuJTNtZoNpKUNWGTt7x8uSw__&Key-Pair-Id=K3EI6M078Z3AC3,151,133,MMMU,val,images/1257.jpg,data/mmstar/images\1257\image.jpg
1258,"<image 1> The structural formula of the glycinium cation is shown above. Arrows indicate the $pK_a$ values for the labile protons in the molecule. Which of the following is true about the geometry of the glycinium cation?
Options: A: The leftmost C atom and all the atoms directly bonded to it lie in the same plane. , B: Both C atoms and both O atoms lie in the same plane. , C: The N-C-C bond angle is 180°., D: The geometry around the N atom is planar.",B,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1258/image/image.jpg?Expires=1745640619&Signature=fuKPYcsnmY8CyJzxGB8nETr3SDbOhlqrxURb0f4o0PQsePjq5FJo1MZfWb37B0vdnmYqXX8TsvS-7~JKdUdx8a3QmDaOfzhlGJjt2N5lhUUhJh87jMtiCijvi6XIPi2nXFqfgyC~E-h6K5AI73aqntCtoVt1tHbpsNy5CFiZZj0nNrMlpYRU5XiSlrbM-FCwiskleZkFtzNvPk9Necz3T9VmQwfhtM104G1hPOP65edyBK1UB1QRtAl9LRSObbXMjKOVSsi9UzsUgPq6aR5ogg~ZYGvaR~g~FvxKerZcuC2cUL16lfbIxxekHA641HbfDWh-mwjoUSFIC0ygJN88Dw__&Key-Pair-Id=K3EI6M078Z3AC3,286,494,MMMU,val,images/1258.jpg,data/mmstar/images\1258\image.jpg
1259,"Which label is the one refers to the peat?
Options: A: G, B: C, C: B, D: E",D,science & technology,biology & chemistry & physics,https://datasets-server.huggingface.co/cached-assets/Lin-Chen/MMStar/--/bc98d668301da7b14f648724866e57302778ab27/--/val/val/1259/image/image.jpg?Expires=1745640619&Signature=fFFCWk5Gk77~0Zz89wpgEo7mRRbN4Ge3EfSWtO63WTf8PAHE-CwxU4H0LYvqLXVIbX13f~Cb15Xh9r3cPb1g4yLHPbt1QtvFKK972z6NjTEnR622tKe3VVLEMyZLjFP5PmkEc7oc-zBx0IKsiu3OO8wkO3Trl9L0h7cIkz61nLv9eS41IAi4vKllzwro9C0WQ6UIKFW-J16uU-9U7DcEM2SNWJudYcloKQwsbMsSFpXUS0oRH-WQgEaYTR1uSiSkj-4uPwqC~y0hUR8KDDMccDas3hJt0zLvQYVTxvJzxBNsdXt2d1NJ9PPf4A~fOA0~HraoBp3Ri3ApfKVMqtmpRQ__&Key-Pair-Id=K3EI6M078Z3AC3,1500,724,AI2D_TEST,val,images/1259.jpg,data/mmstar/images\1259\image.jpg
